source,survey_year,cohort,field_of_education,short_term_full_time_employment_rate,medium_term_full_time_employment_rate,short_term_overall_employment_rate,medium_term_overall_employment_rate,short_term_labour_force_participation_rate,medium_term_labour_force_participation_rate,short_term_median_salary_aud,medium_term_median_salary_aud
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Agriculture and environmental studies,84.5,93.5,92.1,94.8,88.4,87.4,70000.0,91200.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Architecture and built environment,80.0,91.2,90.0,93.4,94.6,95.5,65000.0,84000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Business and management,84.8,94.1,90.8,95.4,96.7,94.9,65000.0,95000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Communications,70.5,85.6,86.8,91.3,91.7,86.1,60500.0,80000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Computing and information systems,77.5,91.0,84.2,92.0,95.0,95.0,69100.0,100000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Creative arts,60.8,83.6,84.2,91.3,90.4,86.5,57200.0,75000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Dentistry,93.8,94.1,92.5,96.9,95.7,92.9,89700.0,128900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Engineering,88.5,95.5,91.9,96.3,96.4,95.5,71000.0,103000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Health services and support,79.9,92.5,91.6,95.6,93.2,90.7,70000.0,93000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,"Humanities, culture and social sciences",73.9,90.0,87.3,93.8,92.1,89.9,67000.0,90000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Law and paralegal studies,81.2,95.1,88.2,96.0,94.1,92.8,70000.0,100000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Medicine,91.9,98.3,91.2,98.6,93.5,90.4,80000.0,115000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Nursing,84.9,94.1,92.6,97.7,95.5,92.6,68900.0,85000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Pharmacy,97.8,97.4,99.0,95.9,95.2,92.4,52200.0,97700.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Psychology,73.1,87.7,87.7,93.4,90.7,89.3,69800.0,91300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Rehabilitation,96.9,95.8,97.5,97.6,97.5,94.5,70000.0,89700.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Science and mathematics,72.9,91.1,86.2,92.8,86.8,84.4,66500.0,85600.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Social work,78.6,89.8,87.8,94.9,93.8,90.9,75000.0,95200.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Teacher education,88.1,95.3,94.6,97.4,94.8,91.7,72300.0,92600.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,"Tourism, hospitality, personal services, sport and recreation",63.0,90.3,95.0,92.3,93.0,90.7,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Veterinary science,93.2,93.3,95.9,96.9,97.0,95.0,64200.0,90000.0
