source,survey_year,cohort,field_of_education,gender,short_term_full_time_employment_rate,medium_term_full_time_employment_rate,short_term_overall_employment_rate,medium_term_overall_employment_rate,short_term_median_salary_aud,medium_term_median_salary_aud
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Agriculture and environmental studies,Male,87.0,95.9,92.1,95.7,70000.0,95600.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Agriculture and environmental studies,Female,83.4,92.4,92.0,94.4,70000.0,90000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Architecture and built environment,Male,82.0,92.1,87.0,93.5,68000.0,90500.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Architecture and built environment,Female,78.6,90.5,91.8,93.3,61000.0,82100.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Business and management,Male,82.0,94.4,88.5,95.5,66700.0,98000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Business and management,Female,86.9,93.9,92.5,95.4,65000.0,92000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Communications,Male,58.7,78.2,81.2,85.4,60000.0,81000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Communications,Female,75.1,88.3,88.9,93.5,60500.0,80000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Computing and information systems,Male,76.0,89.8,82.9,90.9,69800.0,103000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Computing and information systems,Female,82.8,94.7,87.9,95.3,68000.0,94000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Creative arts,Male,53.0,80.4,82.0,88.7,60000.0,75500.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Creative arts,Female,64.5,85.1,85.3,92.3,56000.0,74700.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Dentistry,Male,,,,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Dentistry,Female,92.1,92.3,92.5,96.1,89500.0,122100.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Engineering,Male,87.1,95.3,91.2,96.0,72100.0,104400.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Engineering,Female,93.4,96.5,94.3,97.4,70000.0,100500.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Health services and support,Male,71.3,92.4,90.3,95.9,71800.0,100000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Health services and support,Female,82.3,92.6,91.9,95.5,69800.0,92000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,"Humanities, culture and social sciences",Male,72.0,88.5,83.4,92.8,68000.0,92000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,"Humanities, culture and social sciences",Female,74.9,90.8,89.0,94.2,66500.0,90000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Law and paralegal studies,Male,81.0,95.1,85.6,96.1,76000.0,103300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Law and paralegal studies,Female,81.3,95.0,89.2,95.9,68900.0,100000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Medicine,Male,94.7,100.0,95.2,98.4,81200.0,120000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Medicine,Female,90.4,97.5,89.4,98.6,79300.0,110900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Nursing,Male,83.8,93.7,91.6,97.5,71000.0,90200.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Nursing,Female,85.1,94.2,92.7,97.7,68900.0,85000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Pharmacy,Male,96.2,,96.8,93.3,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Pharmacy,Female,98.4,98.2,100.0,97.0,52200.0,96900.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Psychology,Male,69.7,86.8,82.4,92.5,67900.0,91300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Psychology,Female,74.0,88.1,89.0,93.6,70000.0,91300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Rehabilitation,Male,95.4,95.3,94.3,95.7,70200.0,95000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Rehabilitation,Female,97.3,95.9,98.1,98.1,69400.0,89000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Science and mathematics,Male,71.9,90.3,83.4,91.1,66900.0,91300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Science and mathematics,Female,73.4,91.6,87.8,93.8,66000.0,84000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Social work,Male,71.2,90.5,83.1,96.3,74000.0,95200.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Social work,Female,80.0,89.7,88.7,94.7,75300.0,95000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Teacher education,Male,90.9,95.2,94.9,98.0,73600.0,95000.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Teacher education,Female,87.4,95.3,94.5,97.3,72100.0,91300.0
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,"Tourism, hospitality, personal services, sport and recreation",Male,,,,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,"Tourism, hospitality, personal services, sport and recreation",Female,,,,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Veterinary science,Male,,,,,,
QILT GOS-L 2025 National Report Tables,2025,Domestic undergraduate,Veterinary science,Female,93.8,92.4,95.3,96.5,63700.0,91500.0
