"check_name","dataset","result","details"
"Area row count","qilt_gosl_2025_area_features","PASS","Rows: 21"
"Institution row count","institutional_summary","PASS","Rows: 44"
"Duplicate area rows","qilt_gosl_2025_area_features","PASS","Duplicate rows: 0"
"CIS record exists","qilt_gosl_2025_area_features","PASS","CIS rows: 1"
"Rate range: short_term_full_time_employment_rate","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 0"
"Rate range: medium_term_full_time_employment_rate","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 0"
"Rate range: short_term_overall_employment_rate","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 0"
"Rate range: medium_term_overall_employment_rate","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 0"
"Rate range: short_term_labour_force_participation_rate","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 0"
"Rate range: medium_term_labour_force_participation_rate","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 0"
"Salary range: short_term_median_salary_aud","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 1"
"Salary range: medium_term_median_salary_aud","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 1"
"Salary range: salary_growth","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 1"
"Salary range: male_medium_salary_aud","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 4"
"Salary range: female_medium_salary_aud","qilt_gosl_2025_area_features","PASS","Invalid: 0 | Missing: 1"
"Institution salary completeness","institutional_summary","WARN","Missing salaries: 4"
"Institution employment completeness","institutional_summary","WARN","Missing full-time employment rates: 2"
