"field_of_education","male_medium_salary_aud","female_medium_salary_aud","gender_pay_gap"
"Architecture and built environment",90500,82100,0.092817679558011
"Computing and information systems",103000,94000,0.087378640776699
"Health services and support",1e+05,92000,0.08
"Science and mathematics",91300,84000,0.0799561883899233
"Medicine",120000,110900,0.0758333333333333
"Rehabilitation",95000,89000,0.0631578947368421
"Business and management",98000,92000,0.0612244897959184
"Agriculture and environmental studies",95600,90000,0.0585774058577406
"Nursing",90200,85000,0.057649667405765
"Teacher education",95000,91300,0.0389473684210526
"Engineering",104400,100500,0.0373563218390805
"Law and paralegal studies",103300,1e+05,0.031945788964182
"Humanities, culture and social sciences",92000,90000,0.0217391304347826
"Communications",81000,80000,0.0123456790123457
"Creative arts",75500,74700,0.0105960264900662
"Social work",95200,95000,0.00210084033613445
"Psychology",91300,91300,0
"Dentistry",NA,122100,NA
"Pharmacy",NA,96900,NA
"Tourism, hospitality, personal services, sport and recreation",NA,NA,NA
"Veterinary science",NA,91500,NA
